Organization Name,Organization Website,Location,Address Line 1,Address Line 2,Province,Postal Code,Phone Number,Grant Amount,Fiscal Year
Accessible Community Counselling & Employment Services (ACCES),http://www.accesemployment.ca,Toronto,489 College Street Suite 100,,ON,M6G1A5,4169211800,"3,890,587",2012/13
Algonquin College of Applied Arts and Technology,www.algonquincollege.com,Ottawa,1385 Woodroffe Avenue Suite C214,,ON,K2G1V8,7277274723,"600,000",2012/13
Association of Ontario Land Surveyors,http://aols.org,Toronto,1043 McNicoll Avenue,,ON,M1W3W6,,"300,000",2012/13
Canadian Mothercraft Society,http://www.mothercraft.ca/,Toronto,32 Heath Street West,,ON,M4V1T3,4164830511,"190,000",2012/13
Canadian Society for Medical Laboratory Science,http://www.csmls.org/,Hamilton,33 Wellington Street North,,ON,L8R1M7,9055288642,"107,222",2012/13
Canadore College of Applied Arts,http://www.canadorec.on.ca/,North Bay,100 College Drive,,ON,P1B8K9,7054747600,"100,000",2012/13
CARE Centre for Internationally Educated Nurses,www.care4nurses.org,Toronto,45 Sheppard Avenue East Suite 512,,ON,M2N5W9,,"1,615,000",2012/13
Centennial College of Applied Arts and Technology,http://www.centennialcollege.ca/,Scarborough,PO Box 631 Station A,Progress Avenue,ON,M1K5E9,4162895000,"99,991",2012/13
Certified General Accountants of Ontario,,Toronto,240 Eglinton Avenue East,,ON,M4P1K8,,"215,000",2012/13
Chinese Professionals Association of Canada,http://www.chineseprofessionals.ca,Toronto,4150 Finch Ave East,,ON,M1S3T9,4162987885,"660,000",2012/13
Collège Boréal d'arts appliqués et de technologie,www.borealc.on.ca,Sudbury,21 boulevard LaSalle,,ON,P3A6B1,7055606673,"200,000",2012/13
Community Microskills Development Centre,www.microskills.ca,Etobicoke,1 Vulcan Street,,ON,M9W1L3,4162477181,"1,872,627",2012/13
Conestoga College Institute of Technology and Advanced Learning,http://www.conestogac.on.ca/,Kitchener,299 Doon Valley Drive,,ON,N2G4M4,5197485220,"75,000",2012/13
Confederation College of Applied Arts and Technology,,Thunder Bay,"1450 Nakina Drive, Room 261A",PO Box 398,ON,P7C4W1,8074756211,"200,000",2012/13
Fanshawe College of Applied Arts and Technology,www.fanshawec.ca,London,1001 Fanshawe College Boulevard Room M3010,,ON,N5Y5R6,5194524430,"385,650",2012/13
George Brown College of Applied Arts and Technology,www.georgebrown.ca,Toronto,200 King Street East,,ON,M5T2T9,4164155000,"1,170,000",2012/13
Greater Kitchener Waterloo Chamber of Commerce,www.greaterkwchamber.com,Kitchener,80 Queen Street North,,ON,N2H6L4,,"200,000",2012/13
Hamilton Health Sciences Corporation,,Hamilton,1200 Main Street West,,ON,L8N3Z5,,"175,000",2012/13
Human Resource Professionals Association of Ontario,www.hrpa.ca,Toronto,150 Bloor Street West,Suite 200,ON,M5S2X9,4169232324,"150,000",2012/13
Humber College of Applied Arts and Technology,www.humber.ca,Toronto,3199 Lakeshore Boulevard West,,ON,M8V1K8,4166756622,"1,432,439",2012/13
"Information and Communications Technology Council (ICTC) Canada, Inc.",www.ictc-ctic.ca,Ottawa,116 Lisgar Suite 300,,ON,K2P0C2,,"1,035,000",2012/13
Jewish Vocational Service of Metropolitan Toronto,www.jvstoronto.org,Toronto,74 Tycos Drive,,ON,M6B1V9,4167871151,"480,000",2012/13
Job Skills Employment and Business Programs and Supports,www.jobskills.org,Newmarket,14-130 Davis Drive,,ON,L3Y2N1,,"300,000",2012/13
La Cité collégiale,http://www.lacitec.on.ca/web/macite-2013/mission et valeurs,Ottawa,801 promenade de l'Aviation,,ON,K1K4R3,6137422493,"1,643,588",2012/13
LASI Worldskills,http://www.ottawa-worldskills.org/,Ottawa,219-300 Argyle Avenue,,ON,K2P2H4,6132330453,"594,855",2012/13
Laurentian University,www.laurentian.ca,Sudbury,128 Larch St,Unit 601,ON,P3E5J8,7056751151,"1,063,020",2012/13
McMaster University - School of Rehabilitation Science,,Hamilton,McMaster University School of Rehabilitation Science,"IAHS 1400 Main St. West, Room 403",ON,L8S1C7,,"260,560",2012/13
Mennonite New Life Centre of Toronto,www.mnlct.org,Toronto,1774 Queen Street East Suite 200,,ON,M4L1G7,4166994527,"522,175",2012/13
Michener Institute for Applied Health Sciences,www.michener.ca,Toronto,222 St. Patrick Street,,ON,M5T1V4,4165963101,"300,000",2012/13
Mohawk College of Applied Arts and Technology,www.mohawkcollege.ca,Hamilton,PO Box 2034,135 Fennell Ave West 5th,ON,L8N3T2,9055752303,"185,000",2012/13
Niagara Workforce Planning Board,www.niagaraworkforceboard.ca,St. Catharines,1 St. Paul Street Suite 605,,ON,L2R7L2,NiagaraWorkforcePlanningBoard,"200,000",2012/13
Ontario Hospital Association,,Toronto,200 Front Street West Suite 2800,,ON,M5V3L1,4162051375,"185,000",2012/13
Ontario Regulators for Access Consortium,,Toronto,c/o College of Physiotherapists of Ontario,375 University Avenue Suite 901,ON,M5G2J5,,"75,000",2012/13
Ontario Society of Professional Engineers,www.opse.on.ca,Toronto,4950 Yonge Street Suite 502,,ON,M2N6K1,4162339961,"492,710",2012/13
Ottawa Chinese Community Service Centre,www.occsc.org,Ottawa,381 Kent Street Suite 4004,,ON,K2P2A8,6132354875,"400,000",2012/13
Royal College of Dentists of Canada,,Toronto,180 Dundas Street West Suite 2003,,ON,M5G1Z8,,"250,000",2012/13
Ryerson University,www.ryerson.ca/surp/,Toronto,350 Victoria Street,,ON,M5B2K3,4169795000,"1,800,000",2012/13
"Ryerson University - Faculty of Engineering, Architecture and Science",www.ryerson.ca,Toronto,245 Church Street,,ON,M5B2K3,4169795000,"150,000",2012/13
Seneca College of Applied Arts and Technology,,North York,1750 Finch Avenue East,,ON,M2J2X5,4164915050,"333,124",2012/13
Skills for Change,www.skillsforchange.org,Toronto,791 St. Clair Avenue West,,ON,M6C1B7,4166583101,"1,137,200",2012/13
The Catholic Centre for Immigrants Ottawa-Centre Catholique pour Immigrants Ottawa,www.cic.ca,Ottawa,219 Argyle Avenue Suite 500,,ON,K2P2H4,6132329634,"400,000",2012/13
Toronto and Region Conservation Authority,www.trca.ca,Downsview,5 Shoreham Drive,,ON,M3N1S4,4166616600,"590,000",2012/13
Toronto Region Immigrant Employment Council (TRIEC),http://triec.ca/,Toronto,603 - 250 Dundas Street West,,ON,M5T2Z5,4.16944E+12,"406,000",2012/13
United Way of Ottawa,www.unitedwayottawa.ca,Ottawa,363 Coventry Road,,ON,K1K2C5,6132286893,"150,000",2012/13
Université de Guelph - Campus d'Alfred,www.alfredc.uoguelph.ca,Alfred,31 rue Saint Paul Alfred,,ON,K0B1A0,,"155,000",2012/13
"University of Toronto - Faculty of Law, Centre for the Legal Profession",,Toronto,39 Queen's Park Crescent East,,ON,M5S2C3,,"513,516",2012/13
